,company,model,year,fuel,doors,transmisions,motor,bodywork
887,Jeep,Renegade,2021,Nafta,5,Automática,1.8,SUV
890,Volkswagen,Vento,2021,Nafta,4,Automática,1.4,Sedán
891,Jetour,X70,2021,Nafta,5,Automática,1.8,Sedán
892,Toyota,Yaris,2021,Nafta,4,Manual,1.5,Sedán
893,Fiat,Argo,2020,Nafta,5,Manual,1.8,Hatchback
895,Citroën,C3,2023,Nafta,5,Manual,1.2,Hatchback
896,Nissan,Sentra,2022,Nafta,4,Automática,2.0,Sedán
897,Citroën,C4 Cactus,2023,Nafta,5,Manual,1.6,SUV
899,Peugeot,3008,2023,Diésel,5,Automática,2.0,SUV
900,Citroën,C4 Cactus,2023,Nafta,5,Manual,1.6,SUV
901,Renault,Kangoo,2022,Diésel,3,Manual,1.5,Furgón
902,Renault,Duster,2023,Nafta,5,Manual,1.6,Pick-Up
903,Ford,Ecosport,2022,Nafta,5,Automática,1.5,SUV
904,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
905,Fiat,Toro,2022,Diésel,4,Automática,2.0,Pick-Up
907,Fiat,Cronos,2022,Nafta,4,Manual,1.8,Sedán
908,Jeep,Commander,2022,Diésel,5,Automática,2.0,SUV
910,Ford,Ecosport,2021,Nafta,5,Manual,1.5,SUV
911,Nissan,Kicks,2022,Nafta,5,Manual,1.6,Hatchback
912,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
913,Citroën,C3,2022,Nafta,5,Manual,1.2,Hatchback
914,Toyota,Yaris,2022,Nafta,5,Manual,1.5,Hatchback
916,Fiat,Toro,2021,Diésel,4,Manual,2.0,Pick-Up
917,Nissan,Sentra,2021,Nafta,4,Manual,2.0,Sedán
919,Nissan,Versa,2022,Nafta,4,Automática,1.6,Sedán
920,Fiat,Pulse,2022,Nafta,5,Automática,1.3,SUV
921,Peugeot,3008,2022,Diésel,5,Automática,2.0,SUV
922,Fiat,Pulse,2022,Nafta,5,Automática,1.0,SUV
923,Toyota,Etios,2021,Nafta,5,Manual,1.5,Hatchback
924,Renault,Duster,2021,Nafta,5,Manual,1.6,SUV
925,Volkswagen,Amarok,2022,Diésel,4,Automática,2.0,Pick-Up
926,Renault,Master,2022,Diésel,5,Manual,2.3,Furgón
927,Citroën,Berlingo,2023,Nafta,3,Manual,1.6,Furgón
928,Toyota,Etios,2022,Nafta,4,Manual,1.5,Sedán
930,Toyota,Etios,2023,Nafta,4,Automática,1.5,Sedán
931,Fiat,Pulse,2022,Nafta/GNC,5,Manual,1.0,SUV
932,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
933,Peugeot,Boxer,2022,Diésel,3,Manual,2.2,Furgón
934,Chevrolet,Onix,2021,Nafta,5,Manual,1.2,Hatchback
935,Renault,Kangoo,2022,Diésel,3,Manual,1.5,Monovolumen
936,Fiat,Toro,2022,Diésel,4,Automática,2.0,Pick-Up
937,Chevrolet,S10,2022,Diésel,4,Automática,2.8,Pick-Up
939,Fiat,Toro,2022,Diésel,4,Automática,2.0,Pick-Up
940,Citroën,C3,2023,Nafta,5,Manual,1.6,Hatchback
941,DS,DS4,2022,Nafta,5,Manual,1.6,Hatchback
942,Chevrolet,Onix plus,2021,Nafta,4,Manual,1.2,Sedán
943,Chevrolet,S10,2022,Diésel,4,Automática,2.8,Pick-Up
944,Volkswagen,Nivus,2022,Nafta,5,Manual,1.0,SUV
947,Fiat,Strada,2021,Nafta/GNC,5,Manual,1.4,Pick-Up
949,Nissan,Versa,2021,Nafta,4,Automática,1.6,Sedán
950,Renault,Stepway,2022,Nafta,5,Manual,1.6,Hatchback
951,Peugeot,208,2022,Nafta,5,Manual,1.6,Hatchback
952,Mercedes-Benz,Sprinter,2022,Diésel,2,Manual,2.1,Furgón
953,Nissan,Kicks,2021,Nafta,5,Automática,1.6,Hatchback
954,Nissan,Versa,2021,Nafta,4,Automática,1.6,Sedán
955,Renault,Kangoo,2022,Nafta,3,Manual,1.6,Furgón
956,Jeep,Compass,2022,Nafta,5,Automática,1.3,SUV
957,Nissan,Kicks,2023,Nafta,5,Automática,1.6,Hatchback
958,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
959,DS,DS7 Crossback,2022,Híbrido,5,Automática,2.0,Monovolumen
960,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
961,Renault,Oroch,2022,Nafta,4,Manual,1.6,SUV
963,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
965,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
966,Baic,X25,2021,Nafta,5,Automática,1.5,SUV
967,Peugeot,5008,2022,Diésel,5,Automática,2.0,Monovolumen
968,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
969,Nissan,Versa,2021,Nafta,4,Automática,1.6,Sedán
